Name,FIPS,"% Asian Population, 2017","% Black Population, 2017","% White Population, 2017","% Hispanic Population, 2017","% White Non-Hispanic Population, 2017","# Population, 2017","% Population, 18 to 24 Years, 2017","Median Household Income, 2017","% Education Attainment, Bachelor's Degree, 2017"
"85016, Phoenix, AZ",85016,3.3465,5.5353,67.1111,31.558,51.0091,38697,8.042,53950,23.5595
"85018, Phoenix, AZ",85018,2.5345,3.4371,79.8221,19.8288,68.9908,38666,6.7294,71919,28.8783
"85251, Scottsdale, AZ",85251,2.6717,3.0171,82.264,17.2415,71.9463,38216,10.3622,63576,27.8518
"85203, Mesa, AZ",85203,1.7094,3.4685,71.1743,30.8707,56.1676,38143,10.2299,59533,15.3305
"85210, Mesa, AZ",85210,2.799,4.9734,56.9105,49.494,34.6318,37942,12.5323,46173,11.538
"85206, Mesa, AZ",85206,2.3944,3.4148,83.9676,14.414,76.0431,37630,7.9856,57571,16.5959
"85248, Chandler, AZ",85248,7.2082,3.3995,81.8926,7.4997,77.0408,37388,4.0895,87599,29.1889
"85048, Phoenix, AZ",85048,8.3555,5.4155,76.8747,12.2916,68.8978,37245,7.9796,111365,32.8834
"85140, San Tan Valley, AZ",85140,2.424,4.1667,82.4284,22.3686,68.7406,37128,7.4984,71317,14.7672
"85020, Phoenix, AZ",85020,2.6542,4.1147,75.6299,26.7225,60.9199,37111,7.1704,64511,19.723
"85335, El Mirage, AZ",85335,2.1319,7.2506,57.3596,47.1938,37.1466,36259,9.3411,55024,10.1853
"85213, Mesa, AZ",85213,2.5548,2.8887,82.8583,15.8091,74.0212,36245,9.8055,80464,22.075
"85353, Tolleson, AZ",85353,3.2866,10.8111,47.6333,67.9426,11.845,35112,11.1757,58014,9.3858
"85023, Phoenix, AZ",85023,4.1331,4.3365,71.9274,25.4117,60.224,34913,10.1366,59724,18.3154
"85351, Sun City, AZ",85351,1.1881,2.27,93.2847,5.1225,90.0649,34846,1.257,45161,12.7381
"85392, Avondale, AZ",85392,4.8955,9.6761,60.5203,39.787,39.3591,34828,11.0256,75744,18.1048
"85303, Glendale, AZ",85303,5.1396,9.2601,47.1924,57.9737,20.8566,33855,11.3484,58286,8.2418
"85120, Apache Junction, AZ",85120,1.0271,1.3343,90.0602,13.8705,81.3916,33200,5.25,48254,10.5692
"85031, Phoenix, AZ",85031,1.0612,5.3604,42.8291,81.2053,6.0448,33169,12.7318,34345,3.7625
"85043, Phoenix, AZ",85043,2.5081,10.0602,43.6249,71.6212,9.3938,32415,10.9024,49229,11.2354
